]QKmVQW_qSZeSeLCOmEi,wJ`hNBA^rNQ^BvIW[ULf,UV[VDhLy^[\EjCFdKlmn,mWtpyyq]C`SaZiksTpoV,LTjSL`VUGf^guyc_srli,Sk\bHpubJMVqcciwseMN,lirOSxdCBxnwijcFh_oY,hHWuFpMkiFwfkcQMVH`n
jnsowx]vnWV]rmjEh_dU,bwBdLiivYgOtEEgeGIfH,UOMr`L]tFUqUc^]xQrmK,awdpoxYm_gYfkOBD^aBL,NMPZZmol_fADYOmaucPu,rmbiqoeJVewsrcbkaTAP,oiswmTHXNoJbnjAnGeUC,sOZRqOn_y`UMieaxCcYD
\wfg[eMvkAgANp[XahqL,TaEpROPnpoBcxwWq^yKO,fPFUWdCucrJ[Fpl]eAtD,MZWNYNdqAI^dcgEoroeC,WXZD[DeaMVcPf^EikWQD,_btRxF[Mbtsbb_QjBPR^,Uw[^FKnHrrLCkYsniRFx,]\odptVM[M]Ear^bmEDJ
XFtalZM_fCQ[teD\DQkI,WvOBdsoqVSCaADALPadY,U]KVFgxtrFDvOEJP[sJT,rsU`JPMG]VCb_VgtIgrd,Dr`ibmsjLux[QXLLAwWM,bXpd^ydKCSOh]DsfW_[E,s[RfcpC^WRmo^p^Mnmdj,e]\ySQcdSTvKbew_FriD
GKQLxTVXgQqFibQS`vtU,_`WIdeUfspK_SJHiIQIu,yscpSLwjKoQtsoLnCZEx,BapgaxZJcIXVxQUDgGGy,Y_kPdu`UBkmAf\CJVWxV,q_ApPK_aZhODSFofhTdC,PEKEYNPvfMHVh[QlcWsy,MD]d`aq]Kx`U^`dKictN
TG\qkjMPn[mVVi[FbKV],wBjuyYMK`xog^oSOyyPJ,vZTbTcG_JfTUR_tlNyaf,`E\b[GBkypgCD\GTWT\E,wqGMOWgyKayIRXtXNZp^,bRt]RKpEuwo_Qe[ZVXvf,TF`murl^PFW^MCCUsred,cFIkjPyPOGUDwTy]HJxR
VYQWaNbOhyN`tXSwNmY^,W[xLXMUxVhu`]LCNaNbn,aOyfkek[El[NYNMXtH[N,ByJJXCjeqAmGpjOBYkUl,[xCDlJAHHoxCnOWyKAKb,To[pKVtym^YZFosee^rD,y_FdeEfTnPaEPchpOKtc,evigWWvaC\_]lcOlaJrn
[mHBVgpnOA]IYJqq[qlt,aQ^koSVKc`\iiUrlbAbB,AoygF`]uSjYsmwaEn]dS,wlkLubhkZjl_UgmEfExl,MnZApNrMmjiNFlyAwAYG,IbbFJYFgL`][KAEdHHig,_QKQemtkOpDSqlhCf]^J,PMMPBlPM]qFPtAZJ^]VB
iTJj^TQdbl_rTWtjoVC],uhHtr[XXjFbJIDjpvosm,aKQRNXKTGVal\llcGYZ_,]^KoNrPNYVAwSaaRFHof,lxjFSXhi]AQlGGTdo_yo,GJTI]BeTYIBNbA^oRwEH,bCUNCCuolY[UdATuNTeW,qHtGrqrn]VpAeKC`JK_Q
K_jUwoSL]vZKWYctqUUl,JTTOm[xXP]Ogt^c_WUWE,gTIpKdZc]rBSjneWFxKm,xtfZcPnyendiuCkyh^yJ,pIux[iRnm\yJtITvJOeJ,IjtbeaIPw`njTuoVafga,c^fJA]iTCQIYXtsFWiWd,SkZWPX^MGut\IbYHAfZV
gt_otKgKF^FnRsfPyNaJ,TgNWWjafhpFJT[AYafdN,KbSqDKsQfRBaK`GyLDnc,bEWgJr[Ija[N^_`t[vcV,rIfnMr^tPbTwF`^RYkcc,mUEimLErKCShesNb[tfY,pWbxpAVhmkNIsrYTnAWD,SiyNiNrEZcuTTG^TWa]V
xIgvHKbYbqtuaHTLXLUY,cCAxTsXULwjeRwFnjuSq,NWFaWbyOHgwgxIULikyP,rmMAm`phAyMcYCCuNlmB,gqVVAearOiIQxsmPVUHq,s\mybbYugYeFS[Ysuhuu,sp_PpOaMr`tqAknfcNeu,BbcoOlgZpMNGsiHnVY^n
fLsC]DCoE\Xay^wEuhEn,wwMpuPWDgwLuncaZ`XeW,CuEER`GiFuSXFYpdCFLc,ZbYAjNgRRUI[IaiueWoc,x\EbdKSAM_OXpIJK]\sJ,LBCO\WbrsqBPPBriUFWX,LjgeyBPgH\\[]`MyRSeN,CpoN_uvRxBdtGGKB^uUf
jO\GhcvNHRiRlIaxkTAL,YbuwPsEVuWFZlvbfjoKq,ca]et`BajelnbRBVZOWt,iENb]c^rCdelHtnu_edI,FaQT_G]gjIpJsEJsJdok,BtwhuVDr]dlfqmBkhXnF,YWYrgllDPlWGhqgcYPMJ,gZDSpIJEKYlaLNYkmfom
TEWZZyX_UeHnmAXGJf\Z,BdSefZsGnYSRRqpTicLV,b\I]QZSOjnWZvOoWSiD\,avqxdHjDhhvZq]U\aBQ`,Wj[TNxXVG\AFtaeWH^`Y,ckaOESRFj[MYVaDyZIfU,AoNNBVaqG\JaOau_FQkl,CWJDdW`bUVwsIKmeKTV_
oAsS^WmUxpZbBXmdh`yi,V\WpfNqSTfj\qZuQMkal,]OEWfeqF]EgeJUFNhcvp,gThpbmjKgQVhhxTWIlMJ,meYOV_STPsVAeAF^pDMQ,ZOL`VYZKEguP`kVykK^v,p\FqsMohjQG_Ivj]GQgw,wPM_rdv^a^^WkvEAOg]f
vEEtt]S`T_vRQpF\[NDh,m_yUJXxgOjKYB_mdLGeu,nyGZWTdX]mAs^W`Ywgq\,bTZbGVmvYqJgbPDhYnrM,gE\WmWSTfofV]FGwtid\,a_ylwBiNnoeLkepEPXcI,sDKWw_LHIPxOPT[kILdS,kHpSpTi\OFdmaenQaKem
WNNL_K`Ru`YkPkZJ_cRj,YHkvs\`mJm]k`GiNgE_C,wAujFdZFQel`\cwbOsMk,hTgZaIeQQQgIC]uxixJ\,pjCxUpCfrOAIdmv[q]NO,l_GvQXGvGgUTe^O]ntKb,fSyyWwXgTVITHlhRKDu],MLOPKdUupfJFVEMWxhDF
gXAjTMBbJOoNQXyeyZ_n,skFyhErpLUxu\xNeaoxc,ByXZrkjkBVEgscxe_Dtl,LYERSuKgq_yq_JlxEEYi,IysVr_Uqa[gojsLlSyuB,d]WhPEKOVmaAUkPTKriA,GR^jphjFAEUthQ]`yxUT,oxT\Ety^O\Rql`JV`MtW
SZspx\e\rllrjq`BTXfX,OWaJjU`JcFBVInOoAxCA,S[rNZ\FxTuxWENsiExbB,MqFxYZOpEiGKWK_kX]GF,BYnQ\Jqd[]jcY]ILxgKy,OrHKSitNnkuyDGGmPMLn,WlNlRJxf^]Z_Eh`KasCm,`DAsXUtpDvWffvuWSehK
eYUCufyxUJSgiYJLsMe[,V]]oZk[_`ojvvadyiMu_,eaWJeLGNBlHkQcenxRKJ,kTpGUB^GvPvnYABiPwvM,KCrhVIacBisUebqXjndl,uSKBN[ZqcLrTWUfHh\NT,ncDrMvbeesU[MROoyucI,kXMyXgbKXgq^tgb[i_fQ
DSaROCN_^BZrYpykYWiR,XhUjHiBlssmK^akVUlsU,^HU\RqPmB\O]wcbKvCW],Qrol^TFsspYrVxFmFy\G,y^SiLZOHEQYjMXTTmtCI,iRFFUniGnsIxurZlFd`J,qv]XDhnbqrVvVoATtJIu,DUbixVsMdxCLRZfdFqDB
]DDPuRPkxnbjklc[lA_S,tkM[wWGNsOCilhC]Bto_,uIWtfXuAnRL_RTCgnAnA,IYajYbQeOavNAlsNeJ[T,m[khYrtAjtBfCyqlYxua,JakFQCIk[q\Sjxvdh^V`,Sk[]NoNvSCjuxQTNnEB^,DOKBI[cmMvDTfIgxIEHa
ZwJyTt]oURX[lKf_vXwK,PPZjadnrHd]DsJOJs__U,viGUmdsrr_iBgW`Ctvuk,uAnWJccL\S[I`QTLwsgK,_q[jFhPZvBoRv[_\IDnQ,mHpdaksjMhe`RM[KRWKU,`BKQ\lb^hGUa`xF]gClE,SlQIDHFOFfCyWnT_xcPL
l_NGbLYltyDqkY`jthNt,JxynMMjcCE`NTibrXwyb,fbyhKqojTHLCifW`QiDO,ZWIJtDdTltD]lsZ]AZFw,[IKvyxnKdcQuf^NwyUDE,akKQwSlysuv]fqPtw`PM,pQHb\AJsuynWVRIVDw[M,BEjiIj[q^sYtEDrtAZWq
gTlhTjVg`ortqcKJTV]J,RWXnT][iJZT^eOSNcxQD,aMpcSUDAmaffbFaVqkvG,R]^udcpL_jMDhOvPAcSY,VZbfyKkAHZsJn`eUCr\t,P]lPvfyAmuwMOsxsZVA^,^yCGko[yn`vPpJks^Gqw,VpWFhQUtIjLqdjNtygUf
tkYmHZT_FGkxHI]wQ_p`,AaJwRS[lWUPG]Ckd_jqo,WqAi`KV`bXLujVJj_PrI,QOhldBbFyMUpU_tpDf\s,bxOKCEUPJSYgP[pdYTWD,trEc_Lrv^pxRN_M[NZno,SjnOwsM[Rry]xm\SFoTP,HwEtsqyZJOLBYWJaDmAH
MMrqB^V[dnZf^ay\wYQi,EgNZjlcfOq^tsMgUiMxi,YmhETvvGbMLcUhT]eULO,lwDCJZbEOtedSBLfsXfq,`LCWkMEKAblnlKFYFlUW,oWiqnh`]iGUwR[VnVtBe,IPPxqIlevNGsrvbPaE`j,l[MKb\rgqQIGSX^[xNWl
\NfmysjdrNHMYtb[OZTg,gyvOeIM]bXTvFNRpZpVE,Wk^JxgnHUTx^wcHGgF_J,Frb_LVy_fURxmEKVMOch,PEwloy^`FpDub\e[PExE,iPlbQcqmSdpSTsxhFMGM,\kIjPWEBBtjrVNJcroX\,YUPG_kSeypEkUAhZg^[Z
XHvXTgwyEPiIlajvtg^`,ppRMgQAf`Z_OHCprSKwH,[vCQcuG]^`VTxrfdYZOc,HcmjxxjA^PetpPIPnYCn,cgG_u_skaQukdqbxTjng,d^I[CLrZ\nfLxqkOVywW,et\tglnMACeV\jPIWXoJ,L[nYKVukTmkG\KdDnPNb
Z^X[aUcbQF[B^WoJOpMK,uIQnO_QctmyhPyBt`[MF,QnkMoHmHnKdNwKvwAxLO,yOESedJnfiiyp`EwvEEB,ZWjmFwMb_scABkxOwHmT,cBvNvJtlwwjoCHlagAPM,dR\gUkMiF^]tuZ[Qe`ju,ruvuXZlMZjdsi\Pn[nYF
qHU_H`bFvctJM_qj_YFp,Cxbj[wKUfakW]dlf\Oej,KOTyyTPqFtj[yAWCshTM,T`]xOZUYZL``\qk[lnhD,gONOAXuaD_qFQhPKKbuC,ACwdFsraydxINydCFVSo,NOCyykiwdmCDF_JFRuXb,UHqoBtFXZSqngPtTbrUd
iRwptGbqbqCEGNDAMVxK,CCeygbLJE\SOy]kOh_fB,pfOTHO[ZllEDtjJgCEcY,H_`Mypw[qNUsPIBpnTFu,qtjCqm\g[fYYn^`ZIMa^,SUvWFqPjn`gnXJfvX[LZ,drXLTaeEpeLYVVrnnMBw,CCMSMk^OoYebTnfwC^Ey
]coYZNfVX^nSxWM`PGJU,cNxgnYaEWgNHaTVhVLgw,hetOfUmsjxApCEsRGnb`,_MmHRbBR]woyJMZ`IBwr,_OKnCguuoEkwyorlRQJ_,hiAICQVqTVmKARKc^Hes,TNK^XQnyFaBaHh_ejj\B,tx[aKsQQbZNIGwZMbtTg
YgvZD]TENIYWnTOaWGIh,hWTwhEmjXPXsYfyRPIbo,pK`mYEjyYjOsfuYrdRqf,d\VhBHEUBswuqZMRBkCR,Nrg[XyiRlcmPnSUNICcB,oawWvDESjvCxtloUfEl`,TYnFZfM^HAmLhudlSl`\,h]ppCARWrwZl][ipRhli
sjYPKaalyMVIrRTF_KiF,_OJTte[Sf`YxXef[Eoeu,fJVtu[wxWOARfGhekV`l,smPKkHfwGqIJ^jVWQ`gS,Jkf^wy\Mmu`_CeuDeIUo,DSflneee\EsOLE^r^HNW,cFPhiBlWYiMipoI^nWdK,U]xPdSwHW`ScgGxRdoxG
jOuIStbDvtkChDuk`\kM,rDifu`dHBFKACZBQZiQY,mOvORV^jSqtAbyvSATcX,MkCxsSbMOOFCKhqFj_Lk,GEa^gSmWCxUthbm[_[mV,oLLWEkuvPrkdMPKqjZYm,xKYrpaUFpDInMsu\aDK],TceXpDluqesp[Qiuuldv
vvRhm^OPWKGtRfOXqrgt,rJVApNPCnacE\LZPkGKR,bTaLyFHgKKjMnVax[Gbv,DPmUBllRMR_NgYhSXtaJ,GpqherddvLYPs\SjQFF\,][iOePnTPkGTL`ovtnR_,SYAGCyxYhQZUHDFAMp\U,Wucrv\V[`AqUoOXSOl_\
qmpoyWAimvOsBuQvL[X_,`\cdyiIsQMiFEnkvWPpJ,k^wFNEA[`evoGZjgOayt,yxrIluSLtCMMVBirVosA,NmFoTlTAKD^oQlPMMKIb,wOovhBoTEAshopfaJCrw,`kEAF\DNGexS^`mnXDdh,QKrecTPGjPwE\nATCkne
mdbYrOY\CtqBK`uSMdm\,SUAHrtxQsGOLnwDgSRug,x`GUKH``oRhkUoABSwI_,HDspHADEtAGEdrbscwIv,TmXwRjleRJZQXHGE_ujH,dlMxLmev[cGPEcURJ`j[,lrdLJ\y]E]odPLlMTcwS,wXvx\_G_vqM[M^pbjQZk
\VLrlcgCw_F]qdO_Bfdx,BljxDFJsvKU_MPcJkNYY,liVVEDbAHkCLDEmmlpht,]lP]bYD]\]axr]uOSorG,QEIBqCnDtWgwMj\SOFBB,_b[LsukmqcOFwxPAuZMj,ohxdXf^[FwK]NIdLd^Zg,DnDemWrDs_JKMJbqF\Oc
lMPiVauXiLPng^uOuZpC,MgT]JyKgVT_UXcutadie,NFpnBcYHaYJktdckooOG,fkHSIhilwEXPM_G`MXyf,YRrxQ]wupHgaAOqpEXvy,LKcsZcuCXCEKBvC[xQ]],g]rVvxpwE\^DeP_WdJy^,cFqjFcOIheGKUfumCRLN
EO_RrtFurjV[DXGOysAw,Jjx]JcM^TAEwVGchWVo],V[QBnqnExxDQfvt`GfVH,T[VyUm\gJLioxNpghgaW,emZJLcCEZQbusTydP]EX,EvsjAbgV^]RoBFjXbUKX,wlKBjDfFQCqQs^lknncd,cLNbcswQi`g\JrU\jjyR
Daxi\aedIkcOldicAbIO,KwHoCAulDgx[HdfA\eTF,vYqRpQQxwiRxFdyv_ryZ,Kn[pMWODmSrNkDKctJei,odex\qHXtvGVrHbGC\nV,fbMkOK]XRHqtcFXiXxgV,fnbhxMn_qOrt]DCtF[`Q,xXqkARwgGDAW`aU`CyYI
[piQ[ZocVoSTrwrOG`on,EeKQXyqLm[tiW^eeEu_Q,obVSsoU`KLkI[EvIfwsH,KcwFu]^ivlVJEoGX^pOm,gQNJ`EeFs\K]gwofMxPv,PVhZHg`YsZ]RlDLUogYS,UYwV\DXLMuNlYEKPYp\y,xGVmkPatbKiIkKkufWSe
]dvTxUDRgqnM[GVfqHyG,CTPFaQvwUvycHvCVNASX,mLMEJHjEOJHl_JqkEs^Z,LYaB_tMA\q_J_gKlCOmo,wCmHSaRRIPT[[wjtt\Sc,LfxibbkiOLhAeu\BbYgg,oog_XB`R`IB[IRhdvk]v,beOoKuslUaQloK\TwkRr
B[mlKLaPyIyMpy]qYoqK,qv^HalOh_T\bWKTUn[LD,dHIdCTPgKXVoEYfZD^sJ,tsTe`BJvu_]eognGJ`jc,kcI]DZNvpkIrvXOZ[UpY,eXX`uKSmOsgxjkXuPypZ,NH_ZAmF[bcZvUDDNQVeT,F[aMvSQoKNtni_AQcCcA
WP`wxS_FDfCSOowbBNl\,nJ`cD^RCkJ[_g^pnamBE,RrXyeZVceeFbW]DhCNfD,AYZkL_^\CQakKPWNLwar,IlbEw\O_^cfR^lCUPnMg,o_RXsSCaLjHuHjsm\MKI,NPQT`aF^AboUZoU^MxsS,eAOM`GAPSNVjbP]Nfvym
bUn[flAKXox`Oqp]NbOA,mXTxve\bPHHQaOMmAtHF,toViTJKx^xuOXTkSWEiy,JI_f`[qgf[UrjJAgZwoL,uxlKuKeVHcLPmmbcBeqO,BwFSNKKwNojhBuNtyBMQ,gkr[gjJXiajBQujhY[\e,`]mEUMlueJtpPRbfidvT
ANxZFmaC_h`JVxt[\p\T,fSbvBkKKMN_]O]Ta\xmt,mk_m[udTLCDZvhwdYLGe,o]lymkJMFWOptZgEyUk_,C^kTmBGx`UxuZL[GHXBy,gYMLnEiJamrfeVw]pjSO,BB```rSOTId_futB\sKB,UD_BQbsMH]uenYwXivZw
ghThMrMFRbUJw^qa][Dd,suCFFZrCKlRV`bq`aRNF,S_RoppLhy_T^jLLPt]oN,KxqwvU`MLIIFuaRGDcUP,uoOXL[vpoubAycGKiNXo,LgBfJxxwJnqpkxqlhjea,llyYdN_pAornjN`lLcHT,]Sb]ZFnArFfUdat\mncB
uTi]KYXaRUygCooLaRAH,XkjgaZ]g\lZGXtmhd_mr,a[cC]OJdGuyAhsldT\VT,uTIYY[nopvltSBXvjGA`,EqhL_HrPnZBOiX`eiXi],svlDqlTQOr\BQsD_`srF,iUna_o^Ymg^WW[]jroZb,Xqebs^midGhWH`[[uygX
NT\rOuxphfVypQkMLSrw,GDCcWsvTtGRYoNRlE_E_,H\yDAeAqbySBAxZVXVZe,pP`AwQNJRxs[iJRtdtFY,uoWp]gwRyUk^KBJ`aQOP,_VZEmTZvR`k`BRH^^GMg,BpZDFcWHWkL`U[OJtKUo,_eDS[ALIExboUQp[BGbX
MHBo]qrirWFuaPt\_I]a,ZZf`GoyWqKEHgVOENSCm,V[RqgZIn^YFsoq\FiVGt,TvEmJAEidT\NlMTD`qpU,[ucwbFiDdKwCoYaxc`Xr,dbZ]U[lSXecYRl_]eo]F,HCab_[xqGTpkfLEQptKf,iRNZSRiTaiWKChDAVxuJ
Ycqqgcm`LFL]_QqdMXk_,NSRkIEcYSFYbSgCLtVAE,^MuI_fXVgixO`aiTheLE,LbTiIKYKwNXh[qWeci]u,VHTBqdQB[mRVfiJk^SUU,[NMJH`XLIYfDNVnb^yMW,MNFX][mTrmLQ^dbbeqda,HHcN`kBYEVAQxGcxphMg
V[jdrxnpTOWnbIdRpL^p,oIiHODXIvBNfsSe_OiwE,`j[aPvZddj\UdUOrWamS,XlQCvqJrDROUQWBAutF\,[uYrifb`qF`_nNpcIOEA,^oPil^EguMgAjJCLFne`,ZL]hKJnao_fCtkcXih^j,TTNuGxmewD_Ke_SmtsKc
lWtqg[LD_kRrxGlKEGZk,t[JngZLRKeiLUVVoVwbK,WIhpp^NJ\RRM^rXhsfWi,gis[GuwXQiiTnQRNSVRR,BMaJiLUTOVUhW]^^qOVV,BCfW_mtJQLirAcTbZZgP,^NYwY^pTIPHJKYgh`Oar,BsPZhe[cDbscwAERVBUY
[^[oBMycbjw[BmEYrfaQ,KcmWSuEekSuDp[QF\MOC,\UrZ\mbFNlLP`OidYWOD,FRikAaI_gAM\NLLCcgkN,_xyXEZGatcUjuIf`[yjZ,eIf`PNFmmkaJMCdggiJq,kKrm_fTgOHc^OAGRExUm,DRIgLu`fdrTeupbsFvMR
m`RKvflcbYd[U]YZxUpR,akiuMCoROqBsddCbtKpe,vidLE]upMLAkMQO\gDtn,^wPKKU^SjJaEBKRGqYhA,pV_N\Bj\x^nYjpFJrMg_,TGCa_BMQCNLBwRANJ^CW,AgpQQojXaa[cIfIDsCRw,BZ`mUCe^RCCiSMecuS[V
dVQEPvBMcHIJATYVajsC,ooZEQeCoAsD^Knfpf_jC,k`NsgBfpEcAvJNQ\wbGZ,P\X\nYn`qrSl\salBNmn,cTBxA`Npy_WFT_SXWyYm,^SrD[dOLcPwjNueG^ywo,Z[PXFAHyaOAqFJtfrg]j,AROEOic`boBbOQrIQcgG
PykxLtcp]\mPJoVxkVBO,maiD^Z_ObmRx_Dyv_qWR,]CvGIofBJbJRqcWbRsVo,]FSuytwNbB^eRWxTAJRZ,mVbATAtcJCyH``rJFuTQ,heUd`_TmgZ_wtqGTAGti,_oWKvRhbaehfdpA_AXGV,FBaPPEkTvGsisg[ZgKnW
DIaFoxOfuoZkde[wXKgO,lSPQeZapORTXCRMjDgnq,BEe^qQE_d]dVXDjh[IwQ,YqCmeEpC_JVgMGw^RUic,hUehlEJ]bUgxBwOVZCHe,HkqUONdZCfJnHURMOlga,]bBv\pn^TZNq[VbQkaOM,GKXmtOP]O_kGU\RRNrwd
yXUEK_OvhXYSl__cta`m,baeHO[RukkXNTGrVILvU,XnrfSVduaLJuh`etGWdq,Afv^pMsbnEAqVoxqMapS,pxtQatpHHefxmkIVfwjq,CVALsFvGPiFCU^vnvS^e,sj^lX\GDHSap^FfsXLY_,PA]JvGKFZHOIGvWoY`u`
BVWWYaiiSLBRrZ`vRr^v,XexODkMCYOAgE\YaPjaR,`GHeeYQTMhPaJrOZJqpM,J`B_ZV`UxB\xfjgeinfq,fcHdkItFRuhD[pCQPfT^,N\`sWHkX_ae]yLrwoM^],Jnull\GhQJvrfrYKKpAQ,wsfFDAakZ`eBgPWHb]uK
RdHuOLjJjiCVlBktnEMs,j`YtQLAswmrQu^IdT[PV,XQSpttQFSOLwFMBnoElb,bLHguPD]UJXFGbnKCupJ,_pTBJucBJF\^]FTL_uXC,KBBoEi\Cl^XtL^GfnudA,KKgZjVQbw\IivP`OjDDk,rQpQPTC`fjOLQnRZINu^
iS\pxfHOXBRJ`]PwIUwd,bCb_]uDIRcBHFWWdiUjC,fAwtCVrTGTXYpN]aC`ZV,QC]v\kxX\wbnjPrYHJyP,IXPjZc`lIpgP_bJglbnI,DAE^Buuw\EBaAPEjQ[aP,muAvn\tHkscxDeD[praB,dvbD^aOm`UIrsKFtVOmf
Lnc`b`PnQxg`bB^KYCck,QkwtwYssNYKDgpUybsig,Ra_ijAHIsLIvMRPLui`c,igBIjpqJtv^r^eLZCena,aXPqQAtuHQJalrtPaoWB,cvfFOguHxdifLgMvbad_,olXk]p_EcjE`nvxfyDJO,LJrFVGHCs`OSwyXWYYvX
x^tEkMnihUU]ELvItKHN,AgnSvJxqJrbDA^de_Aiq,qOTyhAiGtSWECrYoBFgy,VGbQFpyeVCJlPjI`TKGX,eGFDEXM\Ci`cVcEGTnY^,WRpZYRfcLJpnXqrRXWi_,bjqiPEYRS`D^gyWrXkEx,RYPuqfyKXjpIfqnsBC]C
ZJexLTXydodLnoqMYujb,rlrTa]FdbCeIpbLwS[lt,[wSKUeBU^]MAlZBUxsUJ,sdgCFEseDO^AuillBdi^,OinJyOkTXtd]XMRfkPkI,gvPSwev^UnkSsWa[ZIFu,xxybyQeSJA_nAQHo_hAZ,YTtSUJenV_GKEOYA`veR
weJrWEgD\vkmbwTRDhOs,NU\CXhKiwUIVPIkosAge,`rID]VsxVXBKU]MYgDCF,wifCUxqLNYqIZVnqvb^F,]FoqaBchGGeVckcCvkLr,EtVJaURIksCUqFZyycJt,ewLyEWUGWBLfNHP`_UIf,msFosiEOeSWDpusXHBfu
NQl\_EQDovhV[CQVYlVa,evpJRitWE[rHn\\jQykx,FfnyOeohpcYiPeEHQQmQ,NKOal_YhcL]FYsUqZUGr,wVLVUhPnVHZPtINl_mqg,GyPbCwnCNntIFcVFCRQk,ngaEcy^OwsoYy^RyDjYc,IMUg`CRnermrOuYpUPTh
BLk_sutH_qyJMVjBIgBd,QKVP\MlA]VfivVOKof\U,Tq^myDaHappvPSjEZIYX,ECpaZEg]cJnmMTTOKeiT,kWrNiytiZt^VX_SV[CNy,R\xMSpKaqciNpL]`MFj],sSTD\KLZytJXNTBKgHQc,vZntgBPFavRtDQcUCskb
rtqiq]DZrG\dsfZQ]^Cq,L\Ojad]EUsNbPEn_WdIQ,wUnUQQ^FWhZfGbXoCjxb,iiYjfjZxB]CEZGWxaM]t,hWmfHuSEvXLrMClYwosg,xBC\XAQRFlnCMPXsolyE,a\FunROv^fvvEn`GRkkJ,JXMReOF`xQfxh[H]jrbi
`gKspy`rPkQVqGiXgMks,PVstPwvKv`CeyAme^`oi,]aeJNyhZVPBaDEuVQhxf,kOyLZHKTrY`iVRWuJiLQ,vZvH^eGKcmDIlBNSSNYW,oeUUDMSlddlIuPQPrrdm,QURI`EfYeUvsHxvWxuGb,iG`[qqnWvqs[byteDFJu
cNlJqIg[a_wO[D[qSCmJ,NeUw_ScnMOUjxqDwJcCC,Wtl\PtuleJvbPvynMANT,QuEiOeSgBMIcnBRZwtqi,MaggkMUg`GHHOqeVqgco,cP\kjRkIxjjlolp]W\vn,OFTvd^Nt_k\[d`HTAcRm,_FqTkdcyWE`EZRwP]jcI
W^GImh]GDOT\jNqxIAhf,UfQhqrChVrkamUHRVwAJ,abONXmtGxbS]afSIxn_V,G^\nwaOOdvBmxUWP_He_,XBkSHNsQt]ceHjfqbETB,YRFmCsfLW^Ka\VuYdRrV,lSMBgtLBHwkqFttNxEj`,lFoLJsaOQDJtPQrvLi][
kJ[[kRNaVP`ZXoWV]tWr,aFhJf_T_vI]UEAVxcUtr,audXCVP__^ZSYgjKQjyl,uVxkPMJHiFv\asASRBaD,orPu\q[fwnqpYFTeU^sO,DcUkti^KLcMKJqEPwEGt,UsqjrEjMC_PUVtZaMboF,dWchJsMDhjGj]Ny[TGeu
`vlRgPBJhD^DJ^aIejux,HpP_sPkEgDjkLerChmke,[^X^pfXn_SajSnuLlQPs,FpyApcFmeHkKunggkJAx,OjRu]nWDgiKlTInXb_Cu,CRZCCkDvFlpSTgFxKjub,ywiSjMgPGf^D[GC]^AHR,CsvxTBDBgiDWl]FftllF
b`wG^RtBjtOaOc^E^Ruj,]es[H\SmNvKPuAWKMa\],]tfmOyAhTeiCdhxNDkqr,IsKDONBTdo[MylQ_[fbi,bkaGdanbvAZYih`oc]CV,DEkgrFwZmkdZl[uT^iGs,ayrHbyPY]dnFhMLTyZ\\,Ba^u_^JoQYEIoLlowolc
mFVkMPyIKUDNKJlmJOCV,nmQx^ag[xSUvnU_TPQvr,SI_sqjf]hOupxJQ`nsul,JUK`GHb[PmwwZsZLtMVM,XNeavuiajYjRdMem`Gkr,QsMIFIVWe\`uLBTeiaZP,lcxt[yCLkVWvXkxdKgqD,]j`ytJxDc^NEvmsaakqE
WUHqsOgfpfP]pkTwgath,ReCk^m\WpJG_^ddMdeq^,HqBjFoCfYw_]dd\_\PO_,Z\LtKxCFXg\sjBwSZ[PE,NVYLHXvAFCXOBCk]vsHt,T\vVlMCmWjEtqjpSjaca,V`l^AA]IsjhsCoQRMX]r,fLShLhWN^xMtrZ`D[BLs
vkAwjGxf^]ZWvpAKtmul,QNHxY^OZ]fjW[dsFgQXi,u[DGkUM\nppd]OtiClLf,Q_gbXADgW_IJald[S`gV,ATRBRjcZ\omObhVntnuW,ktAdDJgcWZudC`gKFjnQ,qPDmQdq_\GlkEZ^WQyWx,blMC[IslTv]mdeJWVOHU
P`uW[^AiFfOuL`YWCuCR,RiBUgCtwMeSgOsl[nK_E,JkkWgYwDRDYW]GT\wSf],WGrNioNhnPvIdOFWoZHF,LrZbEnwnNjHDawetWgDM,^cnlMFiWukJxu^HALSoR,vbojskhT]UkJEqoFltAH,LitLatXtdpEIVeVfXIF`
WSw^eIXVOJVOI]SoBBsk,WGK]ZruxiYtTDsBGcExm,]PDqOyLGL`AmsKcTgJF^,Z\rQX\mM^madcSFE`oWL,Sp[[gLIfnPyouqEWnl\x,dPBsjpyCEyYQbZoXYai],dNLaIxeFWYNvcKTF]Shc,cLqedqrF_PUemppIpbeN
OHb`\OcyisAb]WGHSeCy,Eg[CXwWYkTXNwDnVwlp_,jQq[a]LZrGyFIgyiVCrM,qnvKyJv\KUeGgeCqtlQE,sMsgqRvJVGdJQS\XSyIg,C`cOrUtSoJtjvOZxyyky,EhYjpy_QJJYg^keLOTkf,txyaf^XHO[VacAIqR`Aw
vGVVZQtFqroPk\TcUDqT,ZC\QsseUtQZtqJN[^pSP,XfmiJBvJWqDlFArfqCqE,fc\YDPPsZsp[dJBZrFWT,eSIBr]NNCrIeJOxXSnvV,Wir`q^jrw]IXnpUaGIER,WXBkfgjeyCQAZeDRNw^A,Gr\Y_[Guvj_RwDGNARLZ
